DT;RF;LGBM;RL L1 (óptimo);RL L1 (1 SD)
0.5935386;0.6649424;0.670096;0.6831019;0.6762884
0.6155469;0.6809505;0.6836711;0.6905513;0.6865038
0.6233196;0.681459;0.6824668;0.680989;0.6837867
0.6087109;0.669024;0.6758619;0.6841912;0.6798512
0.6142153;0.6761315;0.6840684;0.6865253;0.6848655
0.5813181;0.667643;0.6591083;0.6663118;0.6618964
0.5951581;0.6692394;0.672268;0.6789429;0.6755259
0.5894427;0.6596725;0.6638654;0.6760639;0.670285
0.6024973;0.6719309;0.6770207;0.6807832;0.6799615
0.5890457;0.6638229;0.6654871;0.6791985;0.6734506
